Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_5.qasm,270,163,107(39.63%),,45,35,10(22.22%),,0(),0(),0(-),,270(cx),163(cx),107(39.63%),,14.686490535736084
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_6.qasm,270,147,123(45.56%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),147(cx),123(45.56%),,13.45997953414917
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_7.qasm,270,164,106(39.26%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),164(cx),106(39.26%),,14.657411813735962
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_8.qasm,270,153,117(43.33%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),153(cx),117(43.33%),,16.546346187591553
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.6D2_9.qasm,270,182,88(32.59%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),182(cx),88(32.59%),,12.313451528549194
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_0.qasm,315,176,139(44.13%),,45,44,1(2.22%),,0(),0(),0(-),,315(cx),176(cx),139(44.13%),,16.517610788345337
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_1.qasm,315,192,123(39.05%),,45,43,2(4.44%),,0(),0(),0(-),,315(cx),192(cx),123(39.05%),,17.419295072555542
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_2.qasm,315,181,134(42.54%),,45,44,1(2.22%),,0(),0(),0(-),,315(cx),181(cx),134(42.54%),,20.34323287010193
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_3.qasm,315,191,124(39.37%),,45,45,0(-),,0(),0(),0(-),,315(cx),191(cx),124(39.37%),,21.193838596343994
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_4.qasm,315,180,135(42.86%),,45,36,9(20.00%),,0(),0(),0(-),,315(cx),180(cx),135(42.86%),,20.558847427368164
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_5.qasm,315,188,127(40.32%),,45,43,2(4.44%),,0(),0(),0(-),,315(cx),188(cx),127(40.32%),,17.35552716255188
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_6.qasm,315,203,112(35.56%),,45,44,1(2.22%),,0(),0(),0(-),,315(cx),203(cx),112(35.56%),,18.26244354248047
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_7.qasm,315,182,133(42.22%),,45,37,8(17.78%),,0(),0(),0(-),,315(cx),182(cx),133(42.22%),,16.678101062774658
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_8.qasm,315,185,130(41.27%),,45,37,8(17.78%),,0(),0(),0(-),,315(cx),185(cx),130(41.27%),,20.77910542488098
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.7D2_9.qasm,315,182,133(42.22%),,45,39,6(13.33%),,0(),0(),0(-),,315(cx),182(cx),133(42.22%),,20.643975973129272
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_0.qasm,360,222,138(38.33%),,45,45,0(-),,0(),0(),0(-),,360(cx),222(cx),138(38.33%),,20.73076581954956
E:\github\pm\qcpm-master\benchmark\BIGD\20QBT_45CYC_.0D1_.8D2_1.qasm,360,198,162(45.00%),,45,42,3(6.67%),,0(),0(),0(-),,360(cx),198(cx),162(45.00%),,19.171326875686646
