Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_4.qasm,315,183,132(41.90%),,45,37,8(17.78%),,0(),0(),0(-),,315(cx),183(cx),132(41.90%),,14.952967643737793,52.0546875
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_5.qasm,315,184,131(41.59%),,45,40,5(11.11%),,0(),0(),0(-),,315(cx),184(cx),131(41.59%),,14.936046123504639,52.390625
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_6.qasm,315,204,111(35.24%),,45,44,1(2.22%),,0(),0(),0(-),,315(cx),204(cx),111(35.24%),,13.343842267990112,51.984375
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_7.qasm,315,179,136(43.17%),,45,37,8(17.78%),,0(),0(),0(-),,315(cx),179(cx),136(43.17%),,12.22241473197937,51.75390625
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_8.qasm,315,185,130(41.27%),,45,37,8(17.78%),,0(),0(),0(-),,315(cx),185(cx),130(41.27%),,15.410543203353882,51.796875
./benchmark/BIGD/20QBT_45CYC_.0D1_.7D2_9.qasm,315,181,134(42.54%),,45,38,7(15.56%),,0(),0(),0(-),,315(cx),181(cx),134(42.54%),,14.644780397415161,52.14453125
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_0.qasm,360,223,137(38.06%),,45,45,0(-),,0(),0(),0(-),,360(cx),223(cx),137(38.06%),,17.877867937088013,52.3046875
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_1.qasm,360,193,167(46.39%),,45,40,5(11.11%),,0(),0(),0(-),,360(cx),193(cx),167(46.39%),,13.900890111923218,52.9375
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_2.qasm,360,204,156(43.33%),,45,46,-1(-2.22%),,0(),0(),0(-),,360(cx),204(cx),156(43.33%),,14.335680484771729,52.80078125
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_3.qasm,360,196,164(45.56%),,45,43,2(4.44%),,0(),0(),0(-),,360(cx),196(cx),164(45.56%),,17.06061577796936,53.76171875
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_4.qasm,360,203,157(43.61%),,45,45,0(-),,0(),0(),0(-),,360(cx),203(cx),157(43.61%),,16.983421802520752,53.79296875
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_5.qasm,360,207,153(42.50%),,45,46,-1(-2.22%),,0(),0(),0(-),,360(cx),207(cx),153(42.50%),,14.455541610717773,53.60546875
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_6.qasm,360,202,158(43.89%),,45,44,1(2.22%),,0(),0(),0(-),,360(cx),202(cx),158(43.89%),,14.022714853286743,53.71875
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_7.qasm,360,197,163(45.28%),,45,43,2(4.44%),,0(),0(),0(-),,360(cx),197(cx),163(45.28%),,14.19779658317566,53.57421875
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_8.qasm,360,199,161(44.72%),,45,44,1(2.22%),,0(),0(),0(-),,360(cx),199(cx),161(44.72%),,13.747994899749756,53.48046875
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_9.qasm,360,209,151(41.94%),,45,42,3(6.67%),,0(),0(),0(-),,360(cx),209(cx),151(41.94%),,17.319682359695435,53.26171875
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_0.qasm,135,68,67(49.63%),,45,25,20(44.44%),,90(x),30(x),60(66.67%),,45(cx),38(cx),7(15.56%),,0.5350327491760254,52.51171875
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_1.qasm,135,81,54(40.00%),,45,21,24(53.33%),,90(x),42(x),48(53.33%),,45(cx),39(cx),6(13.33%),,0.5583176612854004,52.26171875
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_2.qasm,135,55,80(59.26%),,45,17,28(62.22%),,90(x),28(x),62(68.89%),,45(cx),27(cx),18(40.00%),,0.540529727935791,52.0234375
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_3.qasm,135,58,77(57.04%),,45,20,25(55.56%),,90(x),26(x),64(71.11%),,45(cx),32(cx),13(28.89%),,0.5743885040283203,52.0
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_4.qasm,135,59,76(56.30%),,45,16,29(64.44%),,90(x),26(x),64(71.11%),,45(cx),33(cx),12(26.67%),,0.619605302810669,51.99609375
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_5.qasm,135,69,66(48.89%),,45,16,29(64.44%),,90(x),36(x),54(60.00%),,45(cx),33(cx),12(26.67%),,0.5183813571929932,51.9453125
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_6.qasm,135,68,67(49.63%),,45,17,28(62.22%),,90(x),34(x),56(62.22%),,45(cx),34(cx),11(24.44%),,0.5129542350769043,51.94921875
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_7.qasm,135,57,78(57.78%),,45,20,25(55.56%),,90(x),26(x),64(71.11%),,45(cx),31(cx),14(31.11%),,0.5500149726867676,51.70703125
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_8.qasm,135,55,80(59.26%),,45,20,25(55.56%),,90(x),20(x),70(77.78%),,45(cx),35(cx),10(22.22%),,0.5266664028167725,51.69921875
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_9.qasm,135,58,77(57.04%),,45,17,28(62.22%),,90(x),28(x),62(68.89%),,45(cx),30(cx),15(33.33%),,0.566030740737915,51.74609375
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_0.qasm,180,112,68(37.78%),,45,26,19(42.22%),,90(x),40(x),50(55.56%),,90(cx),72(cx),18(20.00%),,1.3629801273345947,51.73046875
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_1.qasm,180,122,58(32.22%),,45,36,9(20.00%),,90(x),42(x),48(53.33%),,90(cx),80(cx),10(11.11%),,0.9511032104492188,51.3984375
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_2.qasm,180,91,89(49.44%),,45,21,24(53.33%),,90(x),30(x),60(66.67%),,90(cx),61(cx),29(32.22%),,1.6404175758361816,51.51953125
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_3.qasm,180,105,75(41.67%),,45,19,26(57.78%),,90(x),40(x),50(55.56%),,90(cx),65(cx),25(27.78%),,1.2642338275909424,51.4296875
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_4.qasm,180,130,50(27.78%),,45,26,19(42.22%),,90(x),52(x),38(42.22%),,90(cx),78(cx),12(13.33%),,1.8547031879425049,51.5703125
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_5.qasm,180,106,74(41.11%),,45,26,19(42.22%),,90(x),36(x),54(60.00%),,90(cx),70(cx),20(22.22%),,1.366666555404663,51.53515625
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_6.qasm,180,95,85(47.22%),,45,20,25(55.56%),,90(x),38(x),52(57.78%),,90(cx),57(cx),33(36.67%),,1.5866339206695557,51.484375
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_7.qasm,180,105,75(41.67%),,45,28,17(37.78%),,90(x),42(x),48(53.33%),,90(cx),63(cx),27(30.00%),,1.4640777111053467,51.48828125
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_8.qasm,180,104,76(42.22%),,45,21,24(53.33%),,90(x),36(x),54(60.00%),,90(cx),68(cx),22(24.44%),,2.0153377056121826,51.58984375
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_9.qasm,180,102,78(43.33%),,45,26,19(42.22%),,90(x),30(x),60(66.67%),,90(cx),72(cx),18(20.00%),,1.419442892074585,51.44921875
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_0.qasm,225,146,79(35.11%),,45,30,15(33.33%),,90(x),46(x),44(48.89%),,135(cx),100(cx),35(25.93%),,2.3707399368286133,51.37890625
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_1.qasm,225,147,78(34.67%),,45,27,18(40.00%),,90(x),44(x),46(51.11%),,135(cx),103(cx),32(23.70%),,3.047645330429077,51.359375
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_2.qasm,225,143,82(36.44%),,45,29,16(35.56%),,90(x),46(x),44(48.89%),,135(cx),97(cx),38(28.15%),,2.2124297618865967,51.49609375
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_3.qasm,225,149,76(33.78%),,45,28,17(37.78%),,90(x),50(x),40(44.44%),,135(cx),99(cx),36(26.67%),,2.20591402053833,51.46875
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_4.qasm,225,160,65(28.89%),,45,29,16(35.56%),,90(x),48(x),42(46.67%),,135(cx),112(cx),23(17.04%),,2.5217840671539307,51.58203125
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_5.qasm,225,152,73(32.44%),,45,28,17(37.78%),,90(x),46(x),44(48.89%),,135(cx),106(cx),29(21.48%),,2.3055312633514404,51.40625
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_6.qasm,225,128,97(43.11%),,45,29,16(35.56%),,90(x),38(x),52(57.78%),,135(cx),90(cx),45(33.33%),,3.5561933517456055,51.37109375
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_7.qasm,225,150,75(33.33%),,45,29,16(35.56%),,90(x),54(x),36(40.00%),,135(cx),96(cx),39(28.89%),,3.2883129119873047,51.48828125
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_8.qasm,225,136,89(39.56%),,45,29,16(35.56%),,90(x),40(x),50(55.56%),,135(cx),96(cx),39(28.89%),,3.6039581298828125,51.4453125
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_9.qasm,225,142,83(36.89%),,45,28,17(37.78%),,90(x),42(x),48(53.33%),,135(cx),100(cx),35(25.93%),,3.601222276687622,51.4921875
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_0.qasm,270,166,104(38.52%),,45,34,11(24.44%),,90(x),50(x),40(44.44%),,180(cx),116(cx),64(35.56%),,3.793424129486084,51.80078125
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_1.qasm,270,192,78(28.89%),,45,39,6(13.33%),,90(x),52(x),38(42.22%),,180(cx),140(cx),40(22.22%),,4.489035606384277,51.7265625
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_2.qasm,270,177,93(34.44%),,45,34,11(24.44%),,90(x),54(x),36(40.00%),,180(cx),123(cx),57(31.67%),,3.0247082710266113,51.734375
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_3.qasm,270,167,103(38.15%),,45,32,13(28.89%),,90(x),42(x),48(53.33%),,180(cx),125(cx),55(30.56%),,4.6414079666137695,51.76953125
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_4.qasm,270,171,99(36.67%),,45,31,14(31.11%),,90(x),52(x),38(42.22%),,180(cx),119(cx),61(33.89%),,4.82487678527832,51.65625
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_5.qasm,270,168,102(37.78%),,45,33,12(26.67%),,90(x),44(x),46(51.11%),,180(cx),124(cx),56(31.11%),,5.304606199264526,51.7578125
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_6.qasm,270,193,77(28.52%),,45,37,8(17.78%),,90(x),52(x),38(42.22%),,180(cx),141(cx),39(21.67%),,3.6003358364105225,51.609375
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_7.qasm,270,195,75(27.78%),,45,41,4(8.89%),,90(x),52(x),38(42.22%),,180(cx),143(cx),37(20.56%),,3.6341357231140137,51.83984375
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_8.qasm,270,172,98(36.30%),,45,33,12(26.67%),,90(x),46(x),44(48.89%),,180(cx),126(cx),54(30.00%),,4.2684245109558105,51.73046875
./benchmark/BIGD/20QBT_45CYC_.1D1_.4D2_9.qasm,270,163,107(39.63%),,45,31,14(31.11%),,90(x),46(x),44(48.89%),,180(cx),117(cx),63(35.00%),,4.063672065734863,51.7890625
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_0.qasm,315,209,106(33.65%),,45,39,6(13.33%),,90(x),54(x),36(40.00%),,225(cx),155(cx),70(31.11%),,5.740798473358154,51.79296875
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_1.qasm,315,191,124(39.37%),,45,36,9(20.00%),,90(x),44(x),46(51.11%),,225(cx),147(cx),78(34.67%),,6.893259763717651,51.8359375
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_2.qasm,315,208,107(33.97%),,45,39,6(13.33%),,90(x),46(x),44(48.89%),,225(cx),162(cx),63(28.00%),,4.836727142333984,51.6796875
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_3.qasm,315,224,91(28.89%),,45,40,5(11.11%),,90(x),58(x),32(35.56%),,225(cx),166(cx),59(26.22%),,4.774930953979492,51.76171875
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_4.qasm,315,199,116(36.83%),,45,39,6(13.33%),,90(x),42(x),48(53.33%),,225(cx),157(cx),68(30.22%),,6.1773035526275635,51.73046875
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_5.qasm,315,223,92(29.21%),,45,37,8(17.78%),,90(x),60(x),30(33.33%),,225(cx),163(cx),62(27.56%),,6.018759727478027,51.8203125
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_6.qasm,315,203,112(35.56%),,45,39,6(13.33%),,90(x),42(x),48(53.33%),,225(cx),161(cx),64(28.44%),,5.253509521484375,51.7890625
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_7.qasm,315,213,102(32.38%),,45,40,5(11.11%),,90(x),48(x),42(46.67%),,225(cx),165(cx),60(26.67%),,4.773221492767334,51.6953125
./benchmark/BIGD/20QBT_45CYC_.1D1_.5D2_8.qasm,315,223,92(29.21%),,45,37,8(17.78%),,90(x),56(x),34(37.78%),,225(cx),167(cx),58(25.78%),,7.770191192626953,51.83203125
