Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_3.qasm,360,244,116(32.22%),,45,50,-5(-11.11%),,0(),0(),0(-),,360(cx),244(cx),116(32.22%),,149.16024494171143,17.76171875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_4.qasm,360,246,114(31.67%),,45,46,-1(-2.22%),,0(),0(),0(-),,360(cx),246(cx),114(31.67%),,143.90409302711487,17.4921875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_5.qasm,360,250,110(30.56%),,45,46,-1(-2.22%),,0(),0(),0(-),,360(cx),250(cx),110(30.56%),,147.8741614818573,17.2421875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_6.qasm,360,243,117(32.50%),,45,51,-6(-13.33%),,0(),0(),0(-),,360(cx),243(cx),117(32.50%),,144.85534405708313,17.640625
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_7.qasm,360,249,111(30.83%),,45,46,-1(-2.22%),,0(),0(),0(-),,360(cx),249(cx),111(30.83%),,147.53533267974854,17.51171875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_8.qasm,360,244,116(32.22%),,45,47,-2(-4.44%),,0(),0(),0(-),,360(cx),244(cx),116(32.22%),,144.39421224594116,17.546875
./data/benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_9.qasm,360,256,104(28.89%),,45,45,0(-),,0(),0(),0(-),,360(cx),256(cx),104(28.89%),,147.09552264213562,17.9453125
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_0.qasm,135,69,66(48.89%),,45,25,20(44.44%),,90(x),30(x),60(66.67%),,45(cx),39(cx),6(13.33%),,10.204102277755737,17.75390625
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_1.qasm,135,81,54(40.00%),,45,25,20(44.44%),,90(x),40(x),50(55.56%),,45(cx),41(cx),4(8.89%),,10.985741376876831,17.62890625
./data/benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_2.qasm,135,64,71(52.59%),,45,30,15(33.33%),,90(x),28(x),62(68.89%),,45(cx),36(cx),9(20.00%),,9.36027455329895,17.41796875
