Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time,Space
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,,
./benchmark/BIGD/20QBT_45CYC_.5D1_.1D2_3.qasm,495,9999999,9999999,,45,9999999,26(57.78%),,450(x),32(x),418(92.89%),,45(cx),36(cx),9(20.00%),,1.485727549,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.5D2_6.qasm,225,9999999,9999999,,45,9999999,8(17.78%),,0(),0(),0(-),,225(cx),142(cx),83(36.89%),,14.93004727,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.5D2_6.qasm,495,9999999,9999999,,45,9999999,3(6.67%),,270(x),96(x),174(64.44%),,225(cx),151(cx),74(32.89%),,7.23255372,5.008305788
./benchmark/BIGD/20QBT_45CYC_.6D1_.2D2_2.qasm,630,9999999,9999999,,45,9999999,15(33.33%),,540(x),62(x),478(88.52%),,90(cx),74(cx),16(17.78%),,3.033553839,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.3D2_4.qasm,405,9999999,9999999,,45,9999999,12(26.67%),,270(x),86(x),184(68.15%),,135(cx),106(cx),29(21.48%),,3.46722436,5.008305788
./benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_7.qasm,540,9999999,9999999,,45,9999999,7(15.56%),,360(x),98(x),262(72.78%),,180(cx),143(cx),37(20.56%),,4.945635319,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_9.qasm,360,9999999,9999999,,45,9999999,1(2.22%),,0(),0(),0(-),,360(cx),210(cx),150(41.67%),,24.45247269,5.008305788
./benchmark/BIGD/20QBT_45CYC_.6D1_.2D2_3.qasm,630,9999999,9999999,,45,9999999,16(35.56%),,540(x),54(x),486(90.00%),,90(cx),59(cx),31(34.44%),,2.239723921,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.3D2_0.qasm,225,9999999,9999999,,45,9999999,15(33.33%),,90(x),46(x),44(48.89%),,135(cx),100(cx),35(25.93%),,3.233700275,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.4D2_5.qasm,360,9999999,9999999,,45,9999999,4(8.89%),,180(x),82(x),98(54.44%),,180(cx),150(cx),30(16.67%),,4.348671675,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.2D2_9.qasm,270,9999999,9999999,,45,9999999,21(46.67%),,180(x),44(x),136(75.56%),,90(cx),63(cx),27(30.00%),,1.908726931,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.7D2_5.qasm,405,9999999,9999999,,45,9999999,4(8.89%),,90(x),64(x),26(28.89%),,315(cx),205(cx),110(34.92%),,9.622885704,5.008305788
./benchmark/BIGD/20QBT_45CYC_.4D1_.4D2_9.qasm,540,9999999,9999999,,45,9999999,5(11.11%),,360(x),110(x),250(69.44%),,180(cx),132(cx),48(26.67%),,4.634690523,5.008305788
./benchmark/BIGD/20QBT_45CYC_.7D1_.1D2_9.qasm,675,9999999,9999999,,45,9999999,23(51.11%),,630(x),36(x),594(94.29%),,45(cx),39(cx),6(13.33%),,1.571842432,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.4D2_4.qasm,180,9999999,9999999,,45,9999999,11(24.44%),,0(),0(),0(-),,180(cx),110(cx),70(38.89%),,9.169349432,5.008305788
./benchmark/BIGD/20QBT_45CYC_.3D1_.4D2_9.qasm,450,9999999,9999999,,45,9999999,6(13.33%),,270(x),96(x),174(64.44%),,180(cx),128(cx),52(28.89%),,4.620979548,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.1D2_4.qasm,225,9999999,9999999,,45,9999999,27(60.00%),,180(x),34(x),146(81.11%),,45(cx),37(cx),8(17.78%),,0.924340725,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.2D2_8.qasm,180,9999999,9999999,,45,9999999,24(53.33%),,90(x),36(x),54(60.00%),,90(cx),68(cx),22(24.44%),,2.733765125,5.008305788
./benchmark/BIGD/20QBT_45CYC_.1D1_.1D2_8.qasm,135,9999999,9999999,,45,9999999,25(55.56%),,90(x),20(x),70(77.78%),,45(cx),35(cx),10(22.22%),,0.600102425,5.008305788
./benchmark/BIGD/20QBT_45CYC_.0D1_.8D2_0.qasm,360,9999999,9999999,,45,9999999,2(4.44%),,0(),0(),0(-),,360(cx),223(cx),137(38.06%),,16.75674129,5.008305788
./benchmark/BIGD/20QBT_45CYC_.2D1_.6D2_4.qasm,450,9999999,9999999,,45,9999999,3(6.67%),,180(x),82(x),98(54.44%),,270(cx),191(cx),79(29.26%),,8.890524149,5.008305788
