Filename,Size(number of gates),,,,Depth,,,,SQGs,,,,MQGs,,,,Total Time
,before,after,reduce,,before,after,reduce,,before,after,reduce,,before,after,reduce,,
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_0.qasm,270,147,123(45.56%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),147(cx),123(45.56%),,16.468742847442627,31.35546875
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_1.qasm,270,180,90(33.33%),,45,39,6(13.33%),,0(),0(),0(-),,270(cx),180(cx),90(33.33%),,19.000074863433838,30.1796875
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_2.qasm,270,162,108(40.00%),,45,38,7(15.56%),,0(),0(),0(-),,270(cx),162(cx),108(40.00%),,14.453283309936523,31.375
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_3.qasm,270,179,91(33.70%),,45,37,8(17.78%),,0(),0(),0(-),,270(cx),179(cx),91(33.70%),,19.03119421005249,31.7578125
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_4.qasm,270,169,101(37.41%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),169(cx),101(37.41%),,14.781099796295166,31.52734375
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_5.qasm,270,160,110(40.74%),,45,35,10(22.22%),,0(),0(),0(-),,270(cx),160(cx),110(40.74%),,14.312565565109253,31.55859375
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_6.qasm,270,144,126(46.67%),,45,36,9(20.00%),,0(),0(),0(-),,270(cx),144(cx),126(46.67%),,13.328105688095093,31.3984375
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_7.qasm,270,165,105(38.89%),,45,40,5(11.11%),,0(),0(),0(-),,270(cx),165(cx),105(38.89%),,14.594010829925537,31.1953125
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_8.qasm,270,154,116(42.96%),,45,38,7(15.56%),,0(),0(),0(-),,270(cx),154(cx),116(42.96%),,13.890321731567383,30.25
./benchmark/BIGD/20QBT_45CYC_.0D1_.6D2_9.qasm,270,182,88(32.59%),,45,39,6(13.33%),,0(),0(),0(-),,270(cx),182(cx),88(32.59%),,12.281237840652466,31.453125
